comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.92;233;1;0;1;128;0;1;0;1;0;0;40960;0;0;0.016122;NA;0.571065;1.157367;1.157366;1.26;321;53
0.02;3;1;0;1;128;0;1;0;1;0;0;40960;0;1;.003774;NA;.164266;.830348;.830348;.948333;321;119
0.02;3;1;0;1;128;0;1;0;1;0;0;40960;0;2;.001659;NA;.066772;.853733;.853733;.987222;324;138
2.88;234;1;0;1;128;0;1;0;2;0;0;40960;0;0;0.038260;NA;0.476132;1.425185;1.425184;1.56;322;38
0.02;3;1;0;1;128;0;1;0;2;0;0;40960;0;1;.006045;NA;.114122;.717253;.717253;.801666;322;105
0.02;3;1;0;1;128;0;1;0;2;0;0;40960;0;2;.002192;NA;.048417;.678683;.678683;.819444;322;127
2.88;233;1;0;1;128;0;1;0;3;0;0;40960;0;0;0.014232;NA;0.350115;1.418374;1.418373;1.53;203;29
0.02;3;1;0;1;128;0;1;0;3;0;0;40960;0;1;.002925;NA;.085178;.568151;.568151;.621666;322;104
0.02;3;1;0;1;128;0;1;0;3;0;0;40960;0;2;.001097;NA;.041995;.521323;.521323;.649444;322;140
2.86;233;1;0;1;128;0;1;0;4;0;0;40960;0;0;0.014122;NA;0.352546;1.273987;1.273986;1.38;202;32
0.02;3;1;0;1;128;0;1;0;4;0;0;40960;0;1;.002927;NA;.081685;.573056;.573056;.671666;283;93
0.03;3;1;0;1;128;0;1;0;4;0;0;40960;0;2;.001068;NA;.037296;.533147;.533147;.661666;281;124
2.85;232;1;0;1;128;0;1;0;5;0;0;40960;0;0;0.014258;NA;0.367591;1.393344;1.393343;1.50;243;31
0.02;3;1;0;1;128;0;1;0;5;0;0;40960;0;1;.003114;NA;.088218;.558765;.558765;.616666;281;108
0.02;3;1;0;1;128;0;1;0;5;0;0;40960;0;2;.001079;NA;.042059;.540841;.540841;.683333;282;133
2.81;231;1;0;1;128;0;1;0;6;0;0;40960;0;0;0.007191;NA;0.137606;0.469011;0.469010;0.57;163;40
0.02;3;1;0;1;128;0;1;0;6;0;0;40960;0;1;.000884;NA;.028472;.143252;.143251;.173333;163;171
0.02;3;1;0;1;128;0;1;0;6;0;0;40960;0;2;.000307;NA;.014529;.130921;.130921;.186111;165;214
