comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;bandwidths(Mbs);input_size;preprocess;splitroles;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
1.62;216;1;0;20;512;0;1;0;1;0;0;1500;81920;0;0;.001329;NA;.176818;1.739902;1.739902;1.848500;2543;219
1.85;217;1;0;20;512;0;1;0;1;0;0;1450;81920;0;0;.001326;NA;.174443;1.750333;1.750332;1.906500;2543;210
1.77;218;1;0;20;512;0;1;0;1;0;0;1400;81920;0;0;.001272;NA;.184429;1.883921;1.883920;1.975000;2543;212
1.74;217;1;0;20;512;0;1;0;1;0;0;1350;81920;0;0;.001446;NA;.172968;1.944498;1.944498;2.046000;2543;195
1.67;217;1;0;20;512;0;1;0;1;0;0;1300;81920;0;0;.001480;NA;.188832;2.025914;2.025914;2.122000;2543;203
1.68;217;1;0;20;512;0;1;0;1;0;0;1250;81920;0;0;.001387;NA;.191034;2.102656;2.102656;2.204000;2543;197
1.71;218;1;0;20;512;0;1;0;1;0;0;1200;81920;0;0;.001330;NA;.202650;2.198822;2.198822;2.293500;2543;199
1.62;216;1;0;20;512;0;1;0;1;0;0;1150;81920;0;0;.001350;NA;.206052;2.331069;2.331069;2.390500;2543;194
1.87;217;1;0;20;512;0;1;0;1;0;0;1100;81920;0;0;.001366;NA;.206702;2.423728;2.423728;2.496000;2543;187
1.62;217;1;0;20;512;0;1;0;1;0;0;1050;81920;0;0;.001410;NA;.210776;2.547649;2.547649;2.618500;2543;181
1.79;216;1;0;20;512;0;1;0;1;0;0;1000;81920;0;0;.001394;NA;.213547;2.689975;2.689975;2.739500;2543;176
1.90;218;1;0;20;512;0;1;0;1;0;0;950;81920;0;0;.001410;NA;.215335;2.845907;2.845907;2.883000;2543;169
1.78;217;1;0;20;512;0;1;0;1;0;0;900;81920;0;0;.001368;NA;.213901;2.997829;2.997829;3.040000;2543;159
1.83;217;1;0;20;512;0;1;0;1;0;0;850;81920;0;0;.001484;NA;.215360;3.181601;3.181601;3.219000;2543;152
1.55;216;1;0;20;512;0;1;0;1;0;0;800;81920;0;0;.001385;NA;.207356;3.372708;3.372708;3.411000;2543;140
1.60;217;1;0;20;512;0;1;0;1;0;0;750;81920;0;0;.001487;NA;.216274;3.523873;3.523873;3.630000;2543;134
1.84;215;1;0;20;512;0;1;0;1;0;0;700;81920;0;0;.001461;NA;.221291;3.782226;3.782226;3.882500;2543;127
1.72;216;1;0;20;512;0;1;0;1;0;0;650;81920;0;0;.001445;NA;.213459;4.046660;4.046660;4.177500;2543;115
1.74;217;1;0;20;512;0;1;0;1;0;0;600;81920;0;0;.001279;NA;.229499;4.414484;4.414484;4.519000;2543;113
1.71;220;1;0;20;512;0;1;0;1;0;0;550;81920;0;0;.001330;NA;.225111;4.792396;4.792396;4.919500;2543;102
1.58;216;1;0;20;512;0;1;0;1;0;0;500;81920;0;0;.001402;NA;.225709;5.258772;5.258772;5.407500;2543;93
1.73;218;1;0;20;512;0;1;0;1;0;0;450;81920;0;0;.001297;NA;.224560;5.830775;5.830775;5.999000;2543;83
1.53;217;1;0;20;512;0;1;0;1;0;0;400;81920;0;0;.001384;NA;.232409;6.551602;6.551602;6.741000;2543;76
1.77;217;1;0;20;512;0;1;0;1;0;0;350;81920;0;0;.001445;NA;.236558;7.455365;7.455365;7.699000;2548;68
1.69;216;1;0;20;512;0;1;0;1;0;0;300;81920;0;0;.001398;NA;.237348;8.827377;8.827377;8.967500;2543;58
1.52;217;1;0;20;512;0;1;0;1;0;0;250;81920;0;0;.001251;NA;.251614;10.471765;10.471765;10.750000;2543;51
1.46;216;1;0;20;512;0;1;0;1;0;0;200;81920;0;0;.001373;NA;.253526;13.163456;13.163456;13.421500;2543;41
1.70;217;1;0;20;512;0;1;0;1;0;0;150;81920;0;0;;NA;;;;15.000000;2;0
