comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.51          217                1                  0    6        512       0         1         0         1         0         0         1500             81920       0           0           .003434      NA          .329144           1.774932            1.774932           1.938333             2543          125
1.66          217                1                  0    6        512       0         1         0         1         0         0         1400             81920       0           0           .004455      NA          .327093           1.882663            1.882663           2.075000             2543          117
1.69          216                1                  0    6        512       0         1         0         1         0         0         1300             81920       0           0           .003954      NA          .352800           2.005822            2.005822           2.213333             2543          116
1.52          217                1                  0    6        512       0         1         0         1         0         0         1200             81920       0           0           .003960      NA          .356574           2.224646            2.224646           2.378333             2543          110
1.60          218                1                  0    6        512       0         1         0         1         0         0         1100             81920       0           0           .004487      NA          .341839           2.378916            2.378916           2.595000             2543          97
1.53          216                1                  0    6        512       0         1         0         1         0         0         1000             81920       0           0           .003949      NA          .375463           2.524879            2.524879           2.850000             2543          95
1.70          216                1                  0    6        512       0         1         0         1         0         0         900              81920       0           0           .004457      NA          .360233           2.968868            2.968868           3.131666             2543          84
1.48          217                1                  0    6        512       0         1         0         1         0         0         800              81920       0           0           .003689      NA          .372178           3.253053            3.253053           3.491666             2543          77
1.71          216                1                  0    6        512       0         1         0         1         0         0         700              81920       0           0           .003935      NA          .442061           3.772635            3.772635           3.978333             2543          78
1.65          217                1                  0    6        512       0         1         0         1         0         0         600              81920       0           0           .004235      NA          .459663           4.404320            4.404319           4.605000             2543          70
1.56          218                1                  0    6        512       0         1         0         1         0         0         500              81920       0           0           .004251      NA          .490280           5.347418            5.347417           5.508333             2543          62
1.55          216                1                  0    6        512       0         1         0         1         0         0         400              81920       0           0           .003408      NA          .490292           6.582393            6.582393           6.835000             2543          49
1.60          217                1                  0    6        512       0         1         0         1         0         0         300              81920       0           0           .003690      NA          .581702           8.936746            8.936746           9.060000             2543          43
1.53          219                1                  0    6        512       0         1         0         1         0         0         200              81920       0           0           .004468      NA          .686650           12.548906           12.548906          13.510000            2543          34
1.51          217                1                  0    6        512       0         1         0         1         0         0         100              81920       0           0           .003675      NA          .766287           26.644954           26.644954          26.855000            2543          18
1.51          216                1                  0    6        512       0         1         0         2         0         0         1500             81920       0           0           .007542      NA          .308461           3.117111            3.117111           3.755000             2553          62
1.71          216                1                  0    6        512       0         1         0         2         0         0         1400             81920       0           0           .006182      NA          .280756           3.086406            3.086405           4.013333             2553          54
1.52          216                1                  0    6        512       0         1         0         2         0         0         1300             81920       0           0           .006678      NA          .310550           3.505432            3.505432           4.313333             2553          54
1.49          218                1                  0    6        512       0         1         0         2         0         0         1200             81920       0           0           .007506      NA          .322043           3.576246            3.576246           4.655000             2553          52
1.67          217                1                  0    6        512       0         1         0         2         0         0         1100             81920       0           0           .006721      NA          .311599           4.175610            4.175610           5.076666             2553          46
1.50          217                1                  0    6        512       0         1         0         2         0         0         1000             81920       0           0           .007054      NA          .333210           4.538330            4.538330           5.606666             2553          44
1.48          216                1                  0    6        512       0         1         0         2         0         0         900              81920       0           0           .006675      NA          .329739           5.128723            5.128723           6.120000             2553          40
1.70          215                1                  0    6        512       0         1         0         2         0         0         800              81920       0           0           .007053      NA          .321076           5.585797            5.585796           6.903333             2553          35
1.68          217                1                  0    6        512       0         1         0         2         0         0         700              81920       0           0           .007571      NA          .348872           6.628250            6.628249           7.835000             2553          33
1.53          220                1                  0    6        512       0         1         0         2         0         0         600              81920       0           0           .006173      NA          .328920           7.654946            7.654946           9.095000             2553          26
1.80          217                1                  0    6        512       0         1         0         2         0         0         500              81920       0           0           .006306      NA          .353225           9.284111            9.284110           10.885000            2553          23
1.61          216                1                  0    6        512       0         1         0         2         0         0         400              81920       0           0           .005532      NA          .370086           11.630959           11.630959          13.576666            2553          19
1.55          217                1                  0    6        512       0         1         0         2         0         0         300              81920       0           0           .007534      NA          .438460           17.416618           17.416618          18.016666            2553          17
1.50          216                1                  0    6        512       0         1         0         2         0         0         200              81920       0           0           .005771      NA          .583125           25.832969           25.832969          26.975000            2553          14
1.47          216                1                  0    6        512       0         1         0         2         0         0         100              81920       0           0           .002244      NA          .188268           15.023475           15.023475          50.000000            2553          2
